task_type,arrival_count,window_start_s,window_seconds,coverage
bert,0,493200,3600,partial_boundary
bert,0,496800,3600,within_recorded_span_not_independently_verified
bert,0,500400,3600,within_recorded_span_not_independently_verified
bert,0,504000,3600,within_recorded_span_not_independently_verified
bert,0,507600,3600,within_recorded_span_not_independently_verified
bert,0,511200,3600,within_recorded_span_not_independently_verified
bert,0,514800,3600,within_recorded_span_not_independently_verified
bert,0,518400,3600,within_recorded_span_not_independently_verified
bert,0,522000,3600,within_recorded_span_not_independently_verified
bert,0,525600,3600,within_recorded_span_not_independently_verified
bert,0,529200,3600,within_recorded_span_not_independently_verified
bert,0,532800,3600,within_recorded_span_not_independently_verified
bert,0,536400,3600,within_recorded_span_not_independently_verified
bert,0,540000,3600,within_recorded_span_not_independently_verified
bert,0,543600,3600,within_recorded_span_not_independently_verified
bert,0,547200,3600,within_recorded_span_not_independently_verified
bert,0,550800,3600,within_recorded_span_not_independently_verified
bert,0,554400,3600,within_recorded_span_not_independently_verified
bert,0,558000,3600,within_recorded_span_not_independently_verified
bert,0,561600,3600,within_recorded_span_not_independently_verified
bert,0,565200,3600,within_recorded_span_not_independently_verified
bert,0,568800,3600,within_recorded_span_not_independently_verified
bert,0,572400,3600,within_recorded_span_not_independently_verified
bert,0,576000,3600,within_recorded_span_not_independently_verified
bert,0,579600,3600,within_recorded_span_not_independently_verified
bert,0,583200,3600,within_recorded_span_not_independently_verified
bert,0,586800,3600,within_recorded_span_not_independently_verified
bert,0,590400,3600,within_recorded_span_not_independently_verified
bert,0,594000,3600,within_recorded_span_not_independently_verified
bert,0,597600,3600,within_recorded_span_not_independently_verified
bert,0,601200,3600,within_recorded_span_not_independently_verified
bert,0,604800,3600,within_recorded_span_not_independently_verified
bert,0,608400,3600,within_recorded_span_not_independently_verified
bert,0,612000,3600,within_recorded_span_not_independently_verified
bert,0,615600,3600,within_recorded_span_not_independently_verified
bert,0,619200,3600,within_recorded_span_not_independently_verified
bert,0,622800,3600,within_recorded_span_not_independently_verified
bert,0,626400,3600,within_recorded_span_not_independently_verified
bert,0,630000,3600,within_recorded_span_not_independently_verified
bert,0,633600,3600,within_recorded_span_not_independently_verified
