trigger,invocation_count,window_start_s
event,10994063,0
event,10939968,3600
event,11466966,7200
event,11419035,10800
event,11689430,14400
event,12742338,18000
event,12569788,21600
event,12263219,25200
event,13049898,28800
event,13258204,32400
event,12779230,36000
event,12847761,39600
event,13036764,43200
event,13339232,46800
event,13439714,50400
event,13439274,54000
event,12781710,57600
event,13193514,61200
event,13712363,64800
event,13264965,68400
event,12532086,72000
event,12079355,75600
event,11396056,79200
event,11004185,82800
event,11636655,86400
event,11404752,90000
event,11464446,93600
event,11700749,97200
event,11989102,100800
event,13092026,104400
event,12822041,108000
event,12645294,111600
event,12961158,115200
event,12635567,118800
event,12181597,122400
event,12582116,126000
event,13109175,129600
event,13289151,133200
event,13202462,136800
event,13350969,140400
event,12703430,144000
event,12998016,147600
event,13337652,151200
event,13006968,154800
event,12328457,158400
event,12433326,162000
event,11614015,165600
event,11489662,169200
event,11959496,172800
event,11844055,176400
event,11754091,180000
event,11646517,183600
event,11828133,187200
event,12787730,190800
event,12435073,194400
event,12447354,198000
event,12805474,201600
event,12932362,205200
event,12597437,208800
event,12658795,212400
event,12709972,216000
event,13194906,219600
event,12944246,223200
event,12884327,226800
event,12288702,230400
event,12416319,234000
event,13090097,237600
event,12741819,241200
event,12320950,244800
event,11404843,248400
event,11013323,252000
event,10992559,255600
event,11422448,259200
event,11208614,262800
event,11273513,266400
event,11356622,270000
event,11684602,273600
event,12758663,277200
event,12232499,280800
event,12382295,284400
event,12563247,288000
event,12721750,291600
event,12065223,295200
event,12170109,298800
event,12544254,302400
event,13067821,306000
event,13899358,309600
event,13139195,313200
event,12461898,316800
event,13350055,320400
event,13680816,324000
event,12684129,327600
event,12594443,331200
event,11656569,334800
event,11398810,338400
event,11537861,342000
event,11842154,345600
event,11775457,349200
event,11869671,352800
event,11551076,356400
event,11210219,360000
event,12564844,363600
event,12091572,367200
event,12424113,370800
event,12610468,374400
event,12574640,378000
event,12553965,381600
event,12275997,385200
event,12573906,388800
event,12898543,392400
event,13060267,396000
event,12796577,399600
event,12378671,403200
event,12061264,406800
event,12474561,410400
event,12394712,414000
event,11441869,417600
event,10835560,421200
event,9822115,424800
event,9648674,428400
event,10008594,432000
event,10032061,435600
event,9840599,439200
event,9380435,442800
event,9424324,446400
event,9507933,450000
event,9575508,453600
event,9460829,457200
event,9946400,460800
event,10023281,464400
event,9832062,468000
event,10147660,471600
event,10852652,475200
event,11622432,478800
event,11016349,482400
event,10414630,486000
event,10273746,489600
event,10678548,493200
event,11437779,496800
event,10399535,500400
event,10246066,504000
event,9961163,507600
event,9914171,511200
event,10017593,514800
event,10198408,518400
event,9707308,522000
event,9864276,525600
event,10001257,529200
event,9486993,532800
event,10603031,536400
event,10226545,540000
event,10298216,543600
event,10061820,547200
event,9577022,550800
event,9634777,554400
event,9737004,558000
event,9849231,561600
event,10195433,565200
event,9951371,568800
event,10368088,572400
event,10067269,576000
event,10174102,579600
event,10266020,583200
event,10104464,586800
event,10077235,590400
event,10067049,594000
event,9815326,597600
event,10050017,601200
event,10226752,604800
event,9705575,608400
event,9908202,612000
event,10125893,615600
event,10184149,619200
event,11440614,622800
event,10916693,626400
event,10756747,630000
event,10710795,633600
event,11040325,637200
event,10968627,640800
event,11637447,644400
event,11747689,648000
event,12325288,651600
event,12897040,655200
event,13107826,658800
event,12081555,662400
event,11878806,666000
event,12019957,669600
event,11799210,673200
event,11720742,676800
event,11113111,680400
event,10925999,684000
event,11059520,687600
event,11024631,691200
event,10771603,694800
event,10588121,698400
event,10827615,702000
event,11440224,705600
event,12580703,709200
event,11563765,712800
event,11468028,716400
event,10252885,720000
event,10698211,723600
event,11832311,727200
event,11136356,730800
event,11612500,734400
event,12208735,738000
event,12960773,741600
event,12682501,745200
event,12100100,748800
event,12092001,752400
event,13257931,756000
event,12149197,759600
event,11638432,763200
event,11287265,766800
event,10984341,770400
event,10768071,774000
event,11183240,777600
event,10855721,781200
event,10323556,784800
event,10486371,788400
event,10657464,792000
event,11069148,795600
event,11261816,799200
event,11032377,802800
event,10941421,806400
event,10786910,810000
event,11135634,813600
event,11229504,817200
event,11416831,820800
event,11720921,824400
event,11833935,828000
event,11630294,831600
event,12361884,835200
event,12813014,838800
event,11848256,842400
event,11808817,846000
event,11516698,849600
event,11362409,853200
event,11649734,856800
event,11046130,860400
event,10993099,864000
event,10342987,867600
event,10773059,871200
event,10945192,874800
event,10831003,878400
event,11548218,882000
event,11638236,885600
event,11844238,889200
event,11714629,892800
event,12054748,896400
event,11506426,900000
event,11465475,903600
event,12106009,907200
event,12479904,910800
event,12361537,914400
event,12376435,918000
event,12024416,921600
event,12292807,925200
event,13133728,928800
event,12373179,932400
event,11860826,936000
event,11796813,939600
event,11210980,943200
event,11027065,946800
event,11812133,950400
event,11152135,954000
event,11359543,957600
event,11359309,961200
event,11340856,964800
event,12708855,968400
event,12465767,972000
event,12281910,975600
event,12149322,979200
event,12617698,982800
event,11973138,986400
event,11641595,990000
event,12241583,993600
event,12260700,997200
event,12395595,1000800
event,12422711,1004400
event,12067982,1008000
event,12075644,1011600
event,12804242,1015200
event,12199073,1018800
event,11791087,1022400
event,11262705,1026000
event,11033409,1029600
event,10746840,1033200
event,11488567,1036800
event,10783135,1040400
event,10971474,1044000
event,10777842,1047600
event,10358207,1051200
event,11827398,1054800
event,11731222,1058400
event,12410696,1062000
event,12245947,1065600
event,11107159,1069200
event,10933868,1072800
event,10652101,1076400
event,10993639,1080000
event,10917643,1083600
event,11081054,1087200
event,11116241,1090800
event,10993957,1094400
event,11010670,1098000
event,11910668,1101600
event,11226851,1105200
event,10684316,1108800
event,10418920,1112400
event,10208580,1116000
event,10430612,1119600
event,11123774,1123200
event,10006816,1126800
event,10020351,1130400
event,9982705,1134000
event,9944837,1137600
event,10969962,1141200
event,11112820,1144800
event,10679406,1148400
event,11220374,1152000
event,11139798,1155600
event,10213887,1159200
event,9868694,1162800
event,10107006,1166400
event,10483758,1170000
event,10723766,1173600
event,10173041,1177200
event,10082062,1180800
event,10123779,1184400
event,11155875,1188000
event,10301363,1191600
event,9741357,1195200
event,9803648,1198800
event,9927669,1202400
event,9937128,1206000
http,7209763,0
http,7154709,3600
http,7346953,7200
http,7170062,10800
http,7206451,14400
http,7350963,18000
http,7606723,21600
http,7960441,25200
http,7845813,28800
http,7983841,32400
http,8214001,36000
http,8467126,39600
http,8898802,43200
http,9419876,46800
http,9259652,50400
http,9143444,54000
http,8994905,57600
http,8876175,61200
http,8647300,64800
http,8670079,68400
http,8554163,72000
http,8402216,75600
http,7888557,79200
http,7722205,82800
http,7857497,86400
http,7773366,90000
http,7734899,93600
http,7627024,97200
http,7407942,100800
http,7603080,104400
http,7897956,108000
http,8391821,111600
http,8379240,115200
http,8307580,118800
http,8486540,122400
http,8613103,126000
http,8999309,129600
http,9431582,133200
http,9400922,136800
http,9309605,140400
http,9200821,144000
http,9050788,147600
http,8998760,151200
http,9049014,154800
http,8761378,158400
http,8893012,162000
http,8576376,165600
http,8285097,169200
http,8221078,172800
http,8368195,176400
http,7874391,180000
http,7549462,183600
http,7585651,187200
http,7748128,190800
http,8073359,194400
http,8485781,198000
http,8373435,201600
http,8658819,205200
http,8554453,208800
http,8785776,212400
http,9537534,216000
http,9768733,219600
http,9945510,223200
http,10175812,226800
http,9646947,230400
http,9603108,234000
http,9217778,237600
http,9199812,241200
http,9323385,244800
http,9270960,248400
http,8878719,252000
http,8606430,255600
http,8651194,259200
http,8771670,262800
http,8446431,266400
http,8211257,270000
http,8259168,273600
http,8371776,277200
http,9197497,280800
http,9767663,284400
http,9791644,288000
http,9574153,291600
http,9320051,295200
http,10001539,298800
http,10051585,302400
http,10525688,306000
http,9876602,309600
