task_type,arrival_count,window_start_s,window_seconds,coverage
scheduling_class_0,213,0,3600,partial_boundary
scheduling_class_0,276,3600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,229,7200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,300,10800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,295,14400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,449,18000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,403,21600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,264,25200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,212,28800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,268,32400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,276,36000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,225,39600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,267,43200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,305,46800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,225,50400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,302,54000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,355,57600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,362,61200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,337,64800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,410,68400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,356,72000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,589,75600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,392,79200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,333,82800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,331,86400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,341,90000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,379,93600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,401,97200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,406,100800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,492,104400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,356,108000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,404,111600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,385,115200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,380,118800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,429,122400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,382,126000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,393,129600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,402,133200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,364,136800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,362,140400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,410,144000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,469,147600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,490,151200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,413,154800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,485,158400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,404,162000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,446,165600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,394,169200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,307,172800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,368,176400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,372,180000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,289,183600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,294,187200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,426,190800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,359,194400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,264,198000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,313,201600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,310,205200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,300,208800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,285,212400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,301,216000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,367,219600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,310,223200,3600,within_recorded_span_not_independently_verified
