task_type,arrival_count,window_start_s,window_seconds,coverage
scheduling_class_0,731,0,3600,partial_boundary
scheduling_class_0,1291,3600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1258,7200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1159,10800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1395,14400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1059,18000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1563,21600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,676,25200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1277,28800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1235,32400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1501,36000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1022,39600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1030,43200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1432,46800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1478,50400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,994,54000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1207,57600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1165,61200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1646,64800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,979,68400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1056,72000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1300,75600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1627,79200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,466,82800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,466,86400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,374,90000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,372,93600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,879,97200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,536,100800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,474,104400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,496,108000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,404,111600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,284,115200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,658,118800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,573,122400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,368,126000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,394,129600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,713,133200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2789,136800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,3135,140400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2881,144000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2754,147600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2492,151200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1102,154800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,902,158400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1736,162000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1580,165600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1069,169200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1481,172800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1377,176400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1082,180000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1872,183600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1154,187200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1094,190800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1540,194400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1173,198000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1206,201600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1540,205200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1585,208800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,971,212400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1224,216000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,917,219600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1763,223200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1295,226800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1194,230400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1282,234000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1203,237600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1091,241200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1432,244800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1680,248400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1324,252000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1184,255600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1136,259200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1293,262800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1191,266400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1504,270000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1721,273600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1368,277200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1291,280800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1113,284400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1177,288000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1575,291600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1361,295200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1278,298800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1052,302400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1399,306000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1242,309600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1559,313200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1497,316800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1353,320400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1181,324000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1153,327600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1071,331200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1215,334800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1640,338400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1153,342000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,977,345600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1240,349200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1128,352800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1523,356400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1358,360000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,965,363600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1430,367200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1021,370800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1221,374400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1824,378000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1214,381600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1301,385200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,954,388800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1322,392400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1141,396000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1504,399600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1274,403200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1316,406800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1105,410400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1181,414000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1002,417600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1692,421200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1162,424800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1360,428400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1486,432000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,918,435600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1661,439200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1379,442800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1495,446400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1161,450000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1224,453600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1507,457200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1119,460800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1179,464400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1071,468000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1999,471600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,830,475200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,826,478800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,584,482400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1819,486000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1122,489600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1020,493200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1689,496800,3600,within_recorded_span_not_independently_verified
