task_type,arrival_count,window_start_s,window_seconds,coverage
scheduling_class_0,699,0,3600,partial_boundary
scheduling_class_0,1245,3600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1214,7200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1127,10800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1348,14400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,992,18000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1539,21600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,653,25200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1245,28800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1203,32400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1477,36000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,992,39600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1008,43200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1413,46800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1449,50400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,970,54000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1179,57600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1142,61200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1623,64800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,965,68400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1023,72000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1283,75600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1607,79200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,426,82800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,429,86400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,347,90000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,330,93600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,833,97200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,501,100800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,435,104400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,456,108000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,331,111600,3600,within_recorded_span_not_independently_verified
