task_type,method,initial_history_hours,evaluation_hours,mae,rmse,mean_error,training_mean,training_variance,training_variance_mean_ratio
bert,same_hour_mean,827,828,27.861426605013534,50.84225614137042,-18.44196606639393,20.842805320435307,815.1786497477681,39.11079325528829
bert,poisson_rate,827,828,27.957027459638258,51.71693954546084,-18.215070933170843,20.842805320435307,815.1786497477681,39.11079325528829
bert,rolling_poisson_24h,827,828,29.16148349436393,47.34512005226819,0.8260366344605481,20.842805320435307,815.1786497477681,39.11079325528829
bert,ewma_0_2,827,828,27.947705310034376,46.95728452085068,0.5679227747347728,20.842805320435307,815.1786497477681,39.11079325528829
bert,seasonal_naive_24h,827,828,33.520531400966185,57.762057736975244,1.315217391304348,20.842805320435307,815.1786497477681,39.11079325528829
ctr,same_hour_mean,827,828,21.893253476138995,45.57042969241581,-9.276079110505494,8.92019347037485,457.8967709068389,51.33260533278511
ctr,poisson_rate,827,828,22.871605416416518,46.027781154916205,-9.219073602596639,8.92019347037485,457.8967709068389,51.33260533278511
ctr,rolling_poisson_24h,827,828,24.94454508856683,44.58848375746351,0.13617149758454108,8.92019347037485,457.8967709068389,51.33260533278511
ctr,ewma_0_2,827,828,22.918566843776148,40.510187445040955,0.13390387939329298,8.92019347037485,457.8967709068389,51.33260533278511
ctr,seasonal_naive_24h,827,828,29.309178743961354,59.77892039566705,0.2318840579710145,8.92019347037485,457.8967709068389,51.33260533278511
nmt,same_hour_mean,827,828,8.585272078504284,18.880491660158516,2.916773337506336,8.25876662636034,1622.3373171210117,196.43820809064079
nmt,poisson_rate,827,828,8.507703490065376,15.117142898666362,2.808279105830141,8.25876662636034,1622.3373171210117,196.43820809064079
nmt,rolling_poisson_24h,827,828,6.31124194847021,15.136549909614942,-0.037288647342995286,8.25876662636034,1622.3373171210117,196.43820809064079
nmt,ewma_0_2,827,828,6.726756567749874,15.854196168757628,-0.0057095480717654235,8.25876662636034,1622.3373171210117,196.43820809064079
nmt,seasonal_naive_24h,827,828,6.958937198067633,21.38106074202368,0.18115942028985507,8.25876662636034,1622.3373171210117,196.43820809064079
